Id,name,followers,popularity,genres,chart_hits,top_chart
55tJwpPIz9BMrSLM45iEXX,9MUSES,58.0,38,"['k-pop', 'k-pop girl group']",,
2cHdytz9MoYGg1SReBPTWY,La Vida Moderna,4793.0,1,[],['es (1)'],es
0BMQhit4vJRkf4b1HO5qXv,ปรีชา ปัดภัย,11296.0,29,['thai viral pop'],['th (1)'],th
7fFoO8E3rLkTJBItdhAwCy,Lars-Erik Larsson,1838.0,16,"['early modern classical', 'swedish classical']",['no (1)'],no
5nWpcynsaMBFgtGmJODhdi,Devano,532807.0,45,['indonesian pop'],['id (2)'],id
3JiKtJqdJ3qUhJRphJk1cT,Thodoris Ferris,34452.0,44,"['greek pop', 'laiko']",['cy (1)'],cy
3qL7BzwJOXq3EzAio36aLX,Ghea Indrawari,130128.0,49,['indonesian pop'],['id (1)'],id
1BjUnGUvkdXUi1ULgcgZvQ,Mc Anônimo,71245.0,38,['brega funk'],['br (1)'],br
04MtOUkmIDC4LAxDDBjrOY,Andre Hazes,624155.0,60,"['dutch pop', 'dutch rock', 'levenslied', 'nederpop']",['nl (3)'],nl
6p3G10bi9yrw3me7CDrCta,ACE COLLECTION,42762.0,43,"['anime', 'j-pop boy group']",['jp (1)'],jp
2bdcBjvuI9worc472GbeU0,Samuel Kim,255766.0,65,['anime lo-fi'],"['cz (1)', 'hu (1)', 'sk (1)']",cz
4eU1y1C4Jxr7eFA56Aivwf,Trifecta,175.0,8,[],"['gr (1)', 'hu (1)', 'lt (1)', 'sk (1)']",gr
0BUTvSwaoKcP9ucuEyyYpr,Cassandra,16553.0,45,[],['id (1)'],id
23fqKkggKUBHNkbKtXEls4,Kygo,8134874.0,80,"['edm', 'pop', 'pop dance', 'tropical house']","['us (28)', 'gb (24)', 'ar (9)', 'au (24)', 'at (35)', 'be (28)', 'bo (10)', 'br (11)', 'bg (26)', 'ca (36)', 'cl (10)', 'co (10)', 'cr (10)', 'cy (23)', 'cz (36)', 'dk (35)', 'do (10)', 'ec (10)', 'eg (4)', 'sv (10)', 'ee (36)', 'fi (37)', 'fr (21)', 'de (31)', 'gr (25)', 'gt (12)', 'hn (12)', 'hk (23)', 'hu (38)', 'is (21)', 'in (9)', 'id (21)', 'ie (31)', 'il (11)', 'it (17)', 'jp (13)', 'lv (32)', 'lt (39)', 'lu (31)', 'my (24)', 'mt (30)', 'mx (10)', 'ma (3)', 'nl (34)', 'nz (21)', 'ni (9)', 'no (64)', 'pa (13)', 'py (10)', 'pe (9)', 'ph (21)', 'pl (25)', 'pt (24)', 'ro (14)', 'sa (5)', 'sg (25)', 'sk (42)', 'za (14)', 'kr (3)', 'es (14)', 'se (46)', 'ch (44)', 'tw (31)', 'th (13)', 'tr (12)', 'ua (1)', 'ae (6)', 'uy (9)', 'vn (12)', 'ad (1)']",no
