,id,name,followers,popularity,genres,chart_hits,top_chart,x,y,degree
15843,06JFLW3orWdOWOpljCHP8A,raku,8187.0,29,['romanian rap'],,,-24414.181941904826,7362.4742784523105,3
15844,0Yb66lSgYL9MFYw6jUHCVD,Alexa Feser,96382.0,49,['german pop'],['de (1)'],de,-22133.73873078172,2603.034535824463,6
15845,0SINQMsr5ct8nVkgLDNpqP,D. Smith,59.0,32,[],,,-18810.917813821685,3465.266232394338,1
15846,46ZKkiF5p7EUjBL0JknTxQ,Konata Small,12758.0,38,"['bossbeat', 'christian hip hop', 'christian trap']",['sa (1)'],sa,-18518.07486830195,1520.3927952121057,7
15847,4FIp9j5zuY5udKxPzCa5M7,KAIOS,1245.0,21,[],,,-19029.544684753557,4413.788599539196,5
15848,2Y4LjuUomk7YIurI8cBC4B,Arabo Ispiryan,5700.0,26,"['armenian folk', 'armenian pop']",,,-18405.549357891192,3920.4697970682064,1
15849,0NHHBPPF40cVfX9u3ANdm1,Aristotle,399.0,28,[],,,-18083.844361589177,4119.271792298674,1
15850,6pg4S5KTCPiEBp0rSWsaI6,HMZ,5818.0,32,[],['fr (1)'],fr,-21672.06000446485,4100.319716569115,3
15851,0ZDsrTOxuwv1cw5boFmaaI,Aayush Sharma,186.0,30,[],,,-20396.01873596494,18539.76260555198,2
15852,1X6AU9VgQPke2P4ES0EhJ3,Laeland,11512.0,48,"['lo-fi chill', 'sad lo-fi', 'sad rap']",,,-19069.283776239456,6762.960883837656,1
15853,0BecZI4vqLoN178y3f16XJ,RH,26639.0,50,"['danish hip hop', 'danish pop']",['dk (24)'],dk,-19213.34165977481,3566.1158080323366,15
15854,2hRQKC0gqlZGPrmUKbcchR,SHINee,2779207.0,61,"['k-pop', 'k-pop boy group']","['hk (1)', 'id (1)', 'my (1)', 'sg (2)', 'kr (11)', 'tw (5)']",kr,-21160.555008781354,3516.4158297959425,3
15855,2UcJVTNX3AAs64CAUgFXKY,Big Daddy,2105.0,23,['comic'],['vn (1)'],vn,-22729.14886200789,13596.714412246718,4
15856,4AoBOahip88ITtaZKPaC6y,Mystique,1467.0,24,['belgian edm'],,,-18314.597768920095,4743.547334119922,3
15857,5Z3qZD6rDNxloqapoa1QUC,Joakim Berg,14850.0,49,"['classic swedish pop', 'swedish pop']",['se (11)'],se,-18808.20387209991,5111.333813425737,5
15858,2B7xPcMn6lsriV26tb0K3R,iMarkkeyz,14777.0,25,['jersey club'],['sa (1)'],sa,-18034.65125783441,1705.4367240818578,4
15859,1MtoCzEftS4dUT2poujgbH,Zena Emad,4499.0,25,[],,,-20009.520595360595,1637.8604319475382,1
15860,7J0LWYD28ay7XQBjlWL9jM,Brudi030,76176.0,47,['german hip hop'],['de (4)'],de,-21636.482930024154,2282.194921126874,33
15861,1aaJCccvrYoJQid1P4MSRY,Cecilia Echenique,6426.0,28,['villancicos'],,,-15269.948221031833,4987.072042265463,1
15862,3qNEgvMVFSPWLeBGuqRQ4F,Conrank,9960.0,31,['experimental bass'],,,-17882.15848498396,3574.9549376380614,3
15863,6zemZFfgLZtt2D4faOqIQR,Richi,4433.0,28,"['greek drill', 'greek trap']",,,-21312.003427573505,13744.894981419151,9
15864,5TEGxYftTkeKmLXkZjHNUE,Jeanne Added,55516.0,46,"['electro-pop francais', 'french indie pop', 'french indietronica', 'french synthpop', 'nouvelle chanson francaise']",['fr (1)'],fr,-21278.02518540909,5229.728637856092,1
15865,4x2dSjOKPB7f2S5moqNGtV,PIH,74771.0,41,"['polish alternative rap', 'polish hip hop']",,,-26172.498107920776,-929.4796676213721,9
15866,6dC0rIJNLSFZwqckLgXJ8p,Timeflies,324519.0,55,"['dance pop', 'indie pop rap', 'pop', 'pop dance', 'pop rap', 'pop rock', 'post-teen pop', 'tropical house']","['us (1)', 'gb (1)', 'ar (1)', 'au (1)', 'at (1)', 'be (1)', 'bo (1)', 'br (1)', 'bg (3)', 'ca (2)', 'cl (1)', 'co (1)', 'cr (1)', 'cy (1)', 'cz (4)', 'dk (1)', 'do (1)', 'ec (1)', 'sv (1)', 'ee (3)', 'fi (1)', 'fr (1)', 'de (1)', 'gr (3)', 'gt (1)', 'hn (1)', 'hk (4)', 'hu (3)', 'is (2)', 'id (1)', 'ie (1)', 'it (1)', 'lv (4)', 'lt (4)', 'lu (1)', 'my (5)', 'mt (4)', 'mx (1)', 'nl (1)', 'nz (1)', 'ni (1)', 'no (2)', 'pa (1)', 'py (1)', 'ph (4)', 'pl (3)', 'pt (1)', 'sg (5)', 'sk (4)', 'es (1)', 'se (3)', 'ch (3)', 'tw (4)', 'tr (1)', 'uy (1)']",my,-18437.584012525214,3878.602896375473,16
15867,3BdPXH47vKO260ajSjscvD,J,259.0,20,[],,,-19125.53384713208,4895.291984055171,1
15868,0Zg2TQRD8kKKlrkbWbLdr4,Honey,369.0,27,[],,,-23877.945173783668,10122.117063238364,2
15869,3IVZ4DbJgnhOtXQruNdomA,CVLTE,20249.0,40,['japanese alternative rock'],,,-19109.56451711542,6334.575799431222,1
